"","sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
"70",10189,85,"Decaspermum_cryptanthum","Myrtaceae","Shrub",3,0.477121255,"Fiji","b",16.583,179.242,611,22.5,6.1,6.4,1.1,27.7,18.3,9.4,23.8,21,23.8,21,2865,383,111,40,1110,374,1110,374,4.5,1800,-1
"71",8927,218,"Cornus_sp","Cornaceae","Herb",0.2,-0.698970004,"Norway","Norway",68.606,17.606,44,1.2,6.3,2.6,6.2,14.5,-9.5,24,6,-0.6,9.6,-6.2,788,95,41,25,260,132,213,193,1.51,121,1
"72",31945,3,"Viola_magellanica","Violaceae","Herb",0.05,-1.301029996,"Argentina","Rio Turbio - Nothofagus",51.578,-72.315,702,3.7,9.7,4.9,3.6,14,-5.6,19.6,3.5,4.2,8,-1.2,500,57,34,15,152,106,120,122,1.26,30,-1
"73",3876,142,"Astragalus_cruciatus","Fabaceae - P","Herb",0.0322,-1.492144128,NA,NA,31.5,35.1,860,16.8,11.6,4.5,5.3,30.3,4.9,25.4,9.8,22.9,22.9,9.8,420,103,0,106,265,0,0,265,1.26,305,1
"76",26391,212,"Rosa_acicularis","Rosaceae","Shrub",0.8,-0.096910013,"USA","Alaska campus",64.86,-147.862,688,-2.9,10.9,2.2,14.1,22.4,-26.7,49.1,14.7,-10.5,14.7,-21,301,54,8,57,144,31,144,47,2.51,317,1
"77",1762,163,"Aesculus_californica","Sapindaceae","Tree",16,1.204119983,"USA","Jasper Ridge - Oak forest",37.4,-122.236,84,13.8,11.2,5.5,3.3,24.1,4,20.1,9.6,17.7,18,9.6,603,121,2,86,313,9,13,313,1.51,223,1
"78",21743,62,"Paraserianthes_toona","Fabaceae - M","Tree",16,1.204119983,"Australia","Townsville Vine Thicket",19.332,146.773,99,23.9,9.9,5.2,3.1,31.6,12.8,18.8,27,20.2,27.2,19.3,1036,253,9,101,674,33,631,43,4.14,1012,-1
"79",32699,49,"Corymbia_maculata","Myrtaceae","Tree",30,1.477121255,"Australia","Toowoomba",28.085,151.729,643,17,13.7,5.1,4.8,29.5,2.8,26.7,22.6,10.5,22.6,10.5,706,92,32,35,258,111,258,111,2.51,1119,-1
"80",30075,105,"Tachigali_sp","Fabaceae - C","Tree",30,1.477121255,NA,NA,10.983,-65.717,165,26.5,11.1,7,0.7,34.4,18.7,15.7,26.5,25.7,27.4,25.7,1661,261,14,66,759,64,375,120,4.07,1225,-1
"81",10684,115,"Diospyros_borneensis","Ebenaceae","Tree",18.1,1.257678575,"Brunei",NA,4.5,115.167,280,26,6.7,9,0.2,29.9,22.5,7.4,25.9,26,26.3,25.7,3612,356,238,14,1050,761,881,838,4.51,2337,1
"82",9078,203,"Corylus_avellana","Betulaceae","Tree",10,1,"Sweden","Stockholm",58.953,17.61,10,7,6.5,2.4,7.1,21.8,-4.8,26.6,15.3,1,16.4,-1.7,508,61,24,28,172,81,162,112,2.79,533,1
"83",32688,20,"Allocasuarina_sp","Casuarinaceae","Shrub",3,0.477121255,"Australia","Adelaide - Cox's scrub",35.341,138.74,177,14.9,10,5.1,3.5,25.9,6.4,19.5,10.5,19.3,19.3,10.5,682,96,22,47,272,75,75,272,2.14,695,-1
